Country,Code,Code 3digit,Mask wearing,Sources and comments,Gatherings limited to 1000 people or less,Sources and comments,Gatherings limited to 100 people or less,Sources and comments,Gatherings limited to 10 people or less,Sources and comments,Some businesses closed,Sources and comments,Most nonessential businesses closed,Sources and comments,Schools closed,Sources and comments,Stay-at-home order,Sources and comments
Andorra,AD,AND,17.04.2020,https://www.brujulabike.com/andorra-permite-ejercicio-mascarilla-obligatoria-prohibido-ciclismo/,No,,No,,No,,14.03.2020,"Sources: https://www.diariandorra.ad/noticies/nacional/2020/03/13/missatge_institucional_del_cap_govern_aquest_vespre_158554_1125.html

https://www.govern.ad/cap-de-govern/item/11305-missatge-del-cap-de-govern-a-la-poblacio-davant-la-situacio-excepcional-per-coronavirus",14.03.2020,"Sources: https://www.diariandorra.ad/noticies/nacional/2020/03/13/missatge_institucional_del_cap_govern_aquest_vespre_158554_1125.html

https://www.govern.ad/cap-de-govern/item/11305-missatge-del-cap-de-govern-a-la-poblacio-davant-la-situacio-excepcional-per-coronavirus",16.03.2020,https://web.archive.org/web/20200317022626/https://www.diariandorra.ad/noticies/nacional/2020/03/12/l_hospital_ailla_dues_persones_mes_per_sospites_haver_infectat_amb_malaltia_158460_1125.html,No,
Albania,AL,ALB,no,,16.03.2020,"Source: https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania

Original Archived source: https://web.archive.org/web/20200317165942/https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/

On 16 March 2020 - wide-ranging ""emergency legislation"" was adopted, specifying various fines for violations of protocol, to be effective immediately. Social, cultural, and political gatherings, whether in enclosed or open-air spaces, were banned, and violators could be fined up to 5 million lek (or 40,000 euros)",16.03.2020,"Source: https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania

Original Archived source: https://web.archive.org/web/20200317165942/https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/

On 16 March 2020 - wide-ranging ""emergency legislation"" was adopted, specifying various fines for violations of protocol, to be effective immediately. Social, cultural, and political gatherings, whether in enclosed or open-air spaces, were banned, and violators could be fined up to 5 million lek (or 40,000 euros)",16.03.2020,"Source: https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania

Original Archived source: https://web.archive.org/web/20200317165942/https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/

On 16 March 2020 - wide-ranging ""emergency legislation"" was adopted, specifying various fines for violations of protocol, to be effective immediately. Social, cultural, and political gatherings, whether in enclosed or open-air spaces, were banned, and violators could be fined up to 5 million lek (or 40,000 euros)",10.03.2020,"Source: https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania

Original source:  ""Coronavirus, Albania in lockdown"". Tirana Times. 12 March 2020.

Quote: Bars, restaurants, gyms, discos, and venues with live music were all ordered to close.",No,,08.03.2020,"https://web.archive.org/web/20200310162434/http://www.tiranatimes.com/?p=144516

https://web.archive.org/web/20200312044109/https://www.newvision.co.ug/new_vision/news/1516166/coronavirus-update-embassies-closed-schools-shut",21.03.2020,"Source: https://www.reuters.com/article/us-health-coronavirus-albania-curfew/albanians-begin-life-under-daily-curfew-as-coronavirus-cases-rise-idUSKBN21A3LS

Quote: As of Monday, March 23, Albania implemented a 16-hour curfew amid growing concerns over the spread of the coronavirus. Individuals are only permitted to shop and go to work from 05:00 to 13:00 (local time), after which security forces will enforce the curfew. 

Comment: A stay-at-home order for the weekend only had already been in plcae before, so I chose the 21st as the start-date."
Austria,AT,AUT,01.04.2020,"Originally just mandatory in supermarkets, later also in public transport and other shops

https://orf.at/stories/3159939/",10.03.2020,"Source 1: all indoor events with more than 100 people were cancelled. 
https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria#Events


Source 2: https://www.reuters.com/article/us-health-coronavirus-austria-events/austria-bans-indoor-events-of-more-than-100-people-minister-says-idUSKBN20X1EV",10.03.2020,"Quote: all indoor events with more than 100 people were cancelled. 

Source 1:
https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria#Events


Source 2: https://www.reuters.com/article/us-health-coronavirus-austria-events/austria-bans-indoor-events-of-more-than-100-people-minister-says-idUSKBN20X1EV

Archived source: https://web.archive.org/web/20200507103115/https://www.reuters.com/article/us-health-coronavirus-austria-events/austria-bans-indoor-events-of-more-than-100-people-minister-says-idUSKBN20X1EV",15.03.2020,"Source: https://www.bloomberg.com/news/articles/2020-03-15/austria-clamps-down-on-public-life-as-coronavirus-cases-soar

Quote: On 15 March 2020 - Gatherings of more than five banned, restaurants to close.

https://web.archive.org/save/https://www.bloomberg.com/news/articles/2020-03-15/austria-clamps-down-on-public-life-as-coronavirus-cases-soar",17.03.2020,"Quote: ""restaurants were ordered to close beginning on 17 March"" but not actually included in the source

Quote: ""Gatherings of more than five banned, restaurants to close""

Archived source: https://web.archive.org/web/20200315144852/https://www.bloomberg.com/news/articles/2020-03-15/austria-clamps-down-on-public-life-as-coronavirus-cases-soar",17.03.2020,"Quote from wikipedia: ""restaurants were ordered to close beginning on 17 March"" but not actually included in the source

Quote: ""Gatherings of more than five banned, restaurants to close""

Archived source: https://web.archive.org/web/20200315144852/https://www.bloomberg.com/news/articles/2020-03-15/austria-clamps-down-on-public-life-as-coronavirus-cases-soar",15.03.2020,https://web.archive.org/web/20200312131600/https://apps.derstandard.at/privacywall/story/2000115634233/soziale-kontakte-wegen-coronavirus-reduzieren-unterricht-an-oberstufen-wird-ausgesetzt,16.03.2020,https://orf.at/stories/3158055/
Bosnia and Herzegovina,BA,BIH,29.03.2020,"https://covid-19.ba/dokumenti/civilna_zastita
http://ba.n1info.com/English/NEWS/a420560/Bosnia-s-Federation-entity-loosens-curfew-introduced-mandatory-masks.html",16.03.2020,"Source 1: http://ba.n1info.com/Vijesti/a417173/Procitajte-naredbe-Zabranjuje-se-rad-kafica-objekata-za-masovno-okupljanje.html

Archive: https://web.archive.org/web/20200507132231/http://ba.n1info.com/Vijesti/a417171/Obustavljena-sva-javna-okupljanja-i-rad-ugostiteljskih-objekata-u-FBiH.html

Source 2: Wikipedia contributors. (2020, May 6). COVID-19 pandemic in Bosnia and Herzegovina. In Wikipedia, The Free Encyclopedia. Retrieved 13:23, May 7, 2020, from https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_Bosnia_and_Herzegovina&oldid=955242808",16.03.2020,"Quote: Ban on gatherings in indoor spaces with more than 50 people

Source: https://www.lexology.com/library/detail.aspx?g=f2e594b3-0ca3-45ec-a9dc-30c5feec54ff

Archive: https://web.archive.org/web/20200507132612/https://www.lexology.com/library/detail.aspx?g=f2e594b3-0ca3-45ec-a9dc-30c5feec54ff",18.03.2020,"Quote: Ban on gatherings in indoor spaces with more than 50 people

Source: https://www.lexology.com/library/detail.aspx?g=f2e594b3-0ca3-45ec-a9dc-30c5feec54ff

Archive: https://web.archive.org/web/20200507132612/https://www.lexology.com/library/detail.aspx?g=f2e594b3-0ca3-45ec-a9dc-30c5feec54ff",18.03.2020,"Source 1: Wikipedia contributors. (2020, May 6). COVID-19 pandemic in Bosnia and Herzegovina. In Wikipedia, The Free Encyclopedia. Retrieved 13:23, May 7, 2020, from https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_Bosnia_and_Herzegovina&oldid=955242808

Quote: 
The Headquarters of Federation of B&H issued on 18 March an order that banned all public gatherings, suspending the operation of all catering facilities for the preparation and sale of food and beverages, restaurants, pizzerias, confectioneries, beauty salons, hookah bars, coffee bars, discos, tea shops, cafes, private dentists",no,Black list used instead of white list,11.03.2020,"https://web.archive.org/web/20200318202057/https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA

https://web.archive.org/web/20200312162729/https://www.klix.ba/vijesti/bih/na-dvije-sedmice-se-obustavlja-nastava-u-skolama-i-na-fakultetima-u-fbih/200311085",20.03.2020,"Source 1: https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bosnia_and_Herzegovina

Source 2 archive: https://web.archive.org/web/20200507133345/https://www.slobodnaevropa.org/a/30499978.html

Quote: The civil protection service of Federation of B&H on 20 March 2020 issued an order, which banned the movement of people under the age of 18 and over 65 in the Federation of BiH."
Belgium,BE,BEL,no,,18.03.2020,Archived source: https://web.archive.org/web/20200507134006/https://www.belgium.be/en/news/2020/coronavirus_reinforced_measures   large gatherings taken to mean >10 due to concurrent curfew,18.03.2020,Archived source: https://web.archive.org/web/20200507134006/https://www.belgium.be/en/news/2020/coronavirus_reinforced_measures   large gatherings taken to mean >10 due to concurrent curfew,18.03.2020,Archived source: https://web.archive.org/web/20200507134006/https://www.belgium.be/en/news/2020/coronavirus_reinforced_measures   large gatherings taken to mean >10 due to concurrent curfew,13.03.2020,Archive Source: https://web.archive.org/web/20200507134502/https://www.belgium.be/en/news/2020/coronavirus_phase_2_maintained_transition_federal_phase_and_additional_measures,18.03.2020,Archived source: https://web.archive.org/web/20200507134006/https://www.belgium.be/en/news/2020/coronavirus_reinforced_measures,13.03.2020,https://web.archive.org/web/20200407125914/https://www.info-coronavirus.be/en/news/phase-2-maintained-transition-to-the-federal-phase-and-additional-measures/,18.03.2020,"Source: https://www.euractiv.com/section/coronavirus/news/belgium-enters-lockdown-over-coronavirus-crisis-until-5-april/

Archive: https://web.archive.org/save/https://www.euractiv.com/section/coronavirus/news/belgium-enters-lockdown-over-coronavirus-crisis-until-5-april/

Quote: Speaking at the press conference after the meeting, Wilmes announced the lockdown is set to start on Wednesday (17 March) and run until 5 April.

Wilmes could not confirm that this is the final scenario but said the situation will be re-assessed when this period ends and next steps decided.

Belgian police will be responsible for strictly enforcing this confinement.

Wilmes urged the population to stay at home. People will be allowed to go out in an emergency or to a supermarket, pharmacies and doctors. Any gatherings and meetings are prohibited."
Bulgaria,BG,BGR,30.03.2020,"https://sofiaglobe.com/2020/03/30/covid-19-bulgaria-makes-wearing-a-protective-mask-in-public-places-compulsory/

https://www.mh.government.bg/bg/novini/aktualno/grazhdanite-koito-se-namirat-v-zakriti-ili-na-otkr/",13.03.2020,"Quote: Bulgaria, which declared a state of emergency until May 13, has imposed a ban on groups of more than two adults congregating together. 

Archive Source: https://web.archive.org/save/https://uk.reuters.com/article/uk-health-coronavirus-easter-orthodox-bu/bulgarian-christians-celebrate-easter-amid-coronavirus-outbreak-idUKKBN22100A",13.03.2020,"Quote: Bulgaria, which declared a state of emergency until May 13, has imposed a ban on groups of more than two adults congregating together. 

Archive Source: https://web.archive.org/save/https://uk.reuters.com/article/uk-health-coronavirus-easter-orthodox-bu/bulgarian-christians-celebrate-easter-amid-coronavirus-outbreak-idUKKBN22100A",13.03.2020,"Quote: Bulgaria, which declared a state of emergency until May 13, has imposed a ban on groups of more than two adults congregating together. 

Archive Source: https://web.archive.org/save/https://uk.reuters.com/article/uk-health-coronavirus-easter-orthodox-bu/bulgarian-christians-celebrate-easter-amid-coronavirus-outbreak-idUKKBN22100A",13.03.2020,"Quote: It has shut schools, restaurants and other public venues and imposed a ban on non-essential travel. https://web.archive.org/save/https://uk.reuters.com/article/uk-health-coronavirus-easter-orthodox-bu/bulgarian-christians-celebrate-easter-amid-coronavirus-outbreak-idUKKBN22100A",13.03.2020,"Quote: It has shut schools, restaurants and other public venues and imposed a ban on non-essential travel. https://web.archive.org/save/https://uk.reuters.com/article/uk-health-coronavirus-easter-orthodox-bu/bulgarian-christians-celebrate-easter-amid-coronavirus-outbreak-idUKKBN22100A",05.03.2020,https://web.archive.org/web/20200308184442/https://www.reuters.com/article/us-health-coronavirus-bulgaria/bulgaria-confirms-first-four-cases-of-coronavirus-health-officials-idUSKBN20V09S,No,
Switzerland,CH,CHE,no,,28.02.2020,"Quote: the national government, the Federal Council, banned all events with more than 1,000 participants.
https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland#Government_response

Archive source: https://web.archive.org/web/20200302094217/https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov.html",13.03.2020,"Quote: On 13 March 2020, the Federal Council decided to cancel classes in all educational establishments until 4 April 2020, and has banned all events (public or private) involving more than 100 people.

Archive source: https://web.archive.org/web/20200314134305/https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78437.html",20.03.2020,Archive source: https://web.archive.org/save/https://www.swissinfo.ch/eng/coronavirus-crisis_switzerland-tightens-restrictions--announces-more-economic-aid/45631672,16.03.2020,Archive https://web.archive.org/save/https://www.admin.ch/opc/de/classified-compilation/20200744/index.html,16.03.2020,Archive source: https://web.archive.org/save/https://www.admin.ch/opc/de/classified-compilation/20200744/index.html,13.03.2020,"https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Switzerland

https://web.archive.org/web/20200428083034/https://www.nzz.ch/schweiz/coronavirus-in-der-schweiz-die-neusten-entwicklungen-ld.1542664
Quote: The Federal Council has classified the situation in Switzerland since March 16 as an extraordinary situation according to the Epidemic Act. It takes measures against the population, organizations and institutions as well as the cantons.
For the schools , the Federal Council had imposed a teaching ban, although the school year is valid in all cantons to be fully valid. From Monday (May 11th) the cantons will start compulsory schooling again.",No,"Archive: https://web.archive.org/web/20200501102849/https://www.swissinfo.ch/eng/public-service-announcement_coronavirus--instructions-from-the-swiss-government/45623094  , On 20 March, the government announced that no lockdown would be implemented, but all events or meetings over 5 people were prohibited. Economic activities would continue including construction.

https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland"
Czechia,CZ,CZE,19.03.2020,"https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Czech_Republic

https://www.theguardian.com/world/2020/mar/30/czechs-get-to-work-making-masks-after-government-decree-coronavirus",10.03.2020,"Quote: Ban on private and public gatherings of 100 or more people, including theatres, music events, cinemas, sports, etc. Exemptions for (1) legislature, (2) executive government, (3) courts and (4) public or private assemblies mandated by law (e.g. shareholder meetings)

Ministry of Health Protection Measure No. MZDR 10666/2020-1/MIN/KAN

Archive Source: https://web.archive.org/save/https://www.mzcr.cz/dokumenty/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-na_18698_4107_1.html",10.03.2020,"Quote: Ban on private and public gatherings of 100 or more people, including theatres, music events, cinemas, sports, etc. Exemptions for (1) legislature, (2) executive government, (3) courts and (4) public or private assemblies mandated by law (e.g. shareholder meetings)

Ministry of Health Protection Measure No. MZDR 10666/2020-1/MIN/KAN

Archive Source: https://web.archive.org/save/https://www.mzcr.cz/dokumenty/mimoradna-opatreni-ministerstva-zdravotnictvi-zakazuji-konani-hromadnych-akci-na_18698_4107_1.html",23.03.2020,"Quote: Gatherings of >2 people banned, Archive link: https://web.archive.org/save/https://www.fulsoft.cz/?uniqueid=gOkE4NvrWuMkmaNigtjQurEFgoiqcHeUDDulZX7UDBY",14.03.2020,Archive Source: https://web.archive.org/save/https://www.vlada.cz/assets/media-centrum/aktualne/Opatreni-o-zakazu-poradani-kulturnich--sportovnich-a-dalsich-akci-s-ucasti-nad-30-osob_1.pdf,14.03.2020,Archive source: https://web.archive.org/save/https://www.vlada.cz/assets/media-centrum/aktualne/Opatreni-o-zakazu-poradani-kulturnich--sportovnich-a-dalsich-akci-s-ucasti-nad-30-osob_1.pdf,10.03.2020,"https://web.archive.org/web/20200507143623/https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/

Quote: On Tuesday, March 10, 2020  , the State Security Council met again. It was decided to take two further  emergency measures  in relation to COVID-19. All mass events with more than 100 people at a time were prohibited, and personal participation in classes at primary, secondary, higher and higher vocational schools was also prohibited.
",16.03.2020,"Quote: People living and working within the quarantined area can go to work. 

People living within the area and working outside, and vice versa, must stay at home. Archive source: https://web.archive.org/save/https://apps.odok.cz/attachment/-/down/IHOABMQVW63P"
Germany,DE,DEU,no,,22.03.2020,Archive source: https://web.archive.org/web/20200408115822/https://www.bundeskanzlerin.de/bkin-de/aktuelles/wichtig-neue-regeln-zum-corona-virus-1734166,22.03.2020,Archive source: https://web.archive.org/web/20200408115822/https://www.bundeskanzlerin.de/bkin-de/aktuelles/wichtig-neue-regeln-zum-corona-virus-1734166,22.03.2020,Archive source: https://web.archive.org/web/20200408115822/https://www.bundeskanzlerin.de/bkin-de/aktuelles/wichtig-neue-regeln-zum-corona-virus-1734166,22.03.2020,Archive source: https://web.archive.org/web/20200408115822/https://www.bundeskanzlerin.de/bkin-de/aktuelles/wichtig-neue-regeln-zum-corona-virus-1734166,No,,13.03.2020,"https://www.zeit.de/news/2020-03/13/bayern-schliesst-alle-schulen-wegen-coronavirus-krise

Comment: 14 of the 16 German federal states decided to close their schools and nurseries for the next few weeks

https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Germany",no,
Denmark,DK,DNK,no,,06.03.2020,"Source 1: 
https://nyheder.tv2.dk/samfund/2020-03-11-mette-f-forsamlinger-over-100-mennesker-skal-forbydes

Source 2: https://www.covid19healthsystem.org/countries/denmark/livinghit.aspx?Section=1.2%20Physical%20distancing&Type=Section

Archive: https://web.archive.org/save/https://www.covid19healthsystem.org/countries/denmark/livinghit.aspx?Section=1.2%20Physical%20distancing&Type=Section

Limitations: 
Unclear if this is a ban or just a strong recommondation. 

Exact date is unsure, but the 13th is an estimate ",13.03.2020,Archive source: https://web.archive.org/web/20200507151453/https://nyheder.tv2.dk/samfund/2020-03-11-mette-f-forsamlinger-over-100-mennesker-skal-forbydes,18.03.2020,Archive: https://web.archive.org/save/https://politi.dk/en/coronavirus-in-denmark/extension-of-measures-during-the-covid19-outbreak-in-denmark,18.03.2020,"Quote: Starting on 18 March at 10:00 AM, a number of further restrictions were introduced: it became illegal to assemble more than ten people in public, all shopping centres and stores with close contact such as hairdressers and nightclubs must be closed, restaurants can only serve take-away, and other businesses must ensure that there is enough space between customers. Unlike previous restrictions on the number of people allowed to assemble, the new restrictions are not merely a recommendation, and breaking the new restrictions is associated with fines of DKK1500. Archive source: https://web.archive.org/save/https://www.dr.dk/nyheder/politik/faa-overblikket-over-de-nye-corona-tiltag-se-hvad-du-ikke-maa-fra-i-dag-klokken-10",18.03.2020,"Quote: Starting on 18 March at 10:00 AM, a number of further restrictions were introduced: it became illegal to assemble more than ten people in public, all shopping centres and stores with close contact such as hairdressers and nightclubs must be closed, restaurants can only serve take-away, and other businesses must ensure that there is enough space between customers. Unlike previous restrictions on the number of people allowed to assemble, the new restrictions are not merely a recommendation, and breaking the new restrictions is associated with fines of DKK1500. Archive source: https://web.archive.org/save/https://www.dr.dk/nyheder/politik/faa-overblikket-over-de-nye-corona-tiltag-se-hvad-du-ikke-maa-fra-i-dag-klokken-10",13.03.2020,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark

https://web.archive.org/web/20200430222302/https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag",no,
